sku,title,br_price,category
(AL)05,AquaLine TF MatrixTrop 1L (apró szemű szűrőanyag),2550,Akvarisztika>Szűrőanyagok
(AL)06,AquaLine TF Planter növénytápsó 500 ml,3200,"Akvarisztika>Növénytápok, táptalajok"
(AL)07,AquaLine TF MatrixTrop 1l (nagy szemű szűrőanyag),2550,Akvarisztika>Szűrőanyagok
(AL)08,AquaLine TF Nitrat - kiegészítő növénytápsó folyadék 500 ml,2500,"Akvarisztika>Növénytápok, táptalajok"
(AL)09,AquaLine TF Phosphate - kiegészítő növénytápsó folyadék 500 ml,2200,"Akvarisztika>Növénytápok, táptalajok"
(AL)10,Liqui Carbo folyékony CO2 500 ml,3250,"Akvarisztika>Növénytápok, táptalajok"
(AL)11,AquaLine Liquid Gold 100 ml,1330,"Akvarisztika>Vízkezelés, vízkémia"
(EL)01,Easy-Life EasyCarbo folyékony szén akváriumi növényeknek  250 ml,2090,"Akvarisztika>Növénytápok, táptalajok"
(EL)02,Easy-Life Ferro vastartalmú akváriumi növénytáp 250 ml,2090,"Akvarisztika>Növénytápok, táptalajok"
(EL)03,Easy-Life ProFito akváriumi növénytápsó 250 ml,2090,"Akvarisztika>Növénytápok, táptalajok"
(EL)04,Easy Life BioExit Green - Természetes algagátló,2290,"Akvarisztika>Vízkezelés, vízkémia"
(EL)05,Easy Life Catappa-X 250 ml,2190,"Akvarisztika>Növénytápok, táptalajok"
(EL)06,Easy Life Fosfo 250 ml,2090,"Akvarisztika>Növénytápok, táptalajok"
(EL)07,Easy-Life Kalium-Potassium akváriumi makro növénytáp 250 ml,2090,"Akvarisztika>Növénytápok, táptalajok"
(EL)08,Easy Life Nitro 250 ml,2090,"Akvarisztika>Növénytápok, táptalajok"
JBL67024,JBL Manado aljzat - 10 liter,5189,"Akvarisztika>Növénytápok, táptalajok"
JBL67025,JBL Manado aljzat - 25 liter,10389,"Akvarisztika>Növénytápok, táptalajok"
JBL67022,JBL Manado aljzat - 3 liter,2689,"Akvarisztika>Növénytápok, táptalajok"
JBL67037,JBL Manado Dark aljzat - 10 liter,7589,"Akvarisztika>Növénytápok, táptalajok"
N301047,Neptun Antiklór vízkezelő 10 ml,249,"Akvarisztika>Vízkezelés, vízkémia"
N301122,Neptun teknős szemcsepp 10 ml,249,"Terrarisztika>Gyógyszerek, vitaminok"
N301016,Neptun Parakill gyógykészítmény 10 ml,249,"Akvarisztika>Gyógyszerek, vitaminok"
N301023,Neptun Parakill Turbó gyógykészítmény 10 ml,249,"Akvarisztika>Gyógyszerek, vitaminok"
N301092,Neptun Metilénkék általános fertőtlenítő 10ml,249,"Akvarisztika>Vízkezelés, vízkémia"
N301054,Neptun Növénytápsó akváriumba 10 ml,249,"Akvarisztika>Növénytápok, táptalajok"
N301115,Neptun Oxigéncsepp akváriumba 10 ml,249,"Akvarisztika>Vízkezelés, vízkémia"
N301085,Neptun Malachitzöld fertőtlenítő szer 10 ml,249,"Akvarisztika>Vízkezelés, vízkémia"
N301108,Neptun Gyorsfürdő gyógykészítmény 10 ml,249,"Akvarisztika>Gyógyszerek, vitaminok"
N301030,Neptun Xanta-Mix fertőtlenítő szer 10 ml,249,"Akvarisztika>Gyógyszerek, vitaminok"
SE3040,Sera Aquatan vízkezelő - 100 ml,1389,"Akvarisztika>Vízkezelés, vízkémia"
SE3050,Sera Aquatan vízkezelő - 250 ml,2389,"Akvarisztika>Vízkezelés, vízkémia"
SE3030,Sera Aquatan vízkezelő - 50 ml,899,"Akvarisztika>Vízkezelés, vízkémia"
SE3740,Sera Bio Nitrivec élőflóra - 100 ml,2589,"Akvarisztika>Vízkezelés, vízkémia"
SE3750,Sera Bio Nitrivec élőflóra - 250 ml,3679,"Akvarisztika>Vízkezelés, vízkémia"
SE3730,Sera Bio Nitrivec élőflóra - 50 ml,1679,"Akvarisztika>Vízkezelés, vízkémia"
SE3810,Sera KH/pH-Plus vízkezelő - 100 ml,1979,"Akvarisztika>Vízkezelés, vízkémia"
SE3540,Sera pH/KH-Minus vízkezelő - 100 ml,1789,"Akvarisztika>Vízkezelés, vízkémia"
SE3390,Sera Phosvec Clear vízkezelő - 100 ml,1999,"Akvarisztika>Vízkezelés, vízkémia"
SE3001,Sera Toxivec vízkezelő - 100 ml,1489,"Akvarisztika>Vízkezelés, vízkémia"
SE3240,Sera Florena növénytápsó - 100 ml,1699,"Akvarisztika>Vízkezelés, vízkémia"
SE3250,Sera Florena növénytápsó - 250 ml,3199,"Akvarisztika>Vízkezelés, vízkémia"
SE3215,Sera Florena növénytápsó - 50 ml,989,"Akvarisztika>Vízkezelés, vízkémia"
N406982,Neptun pH teszt akváriumhoz,489,Akvarisztika>Víztesztek
N406975,Neptun vízkeménység mérő készlet,689,Akvarisztika>Víztesztek
JBL23023,JBL Algol algagátló - 250 ml,3489,"Akvarisztika>Vízkezelés, vízkémia"
(ISTA)I691,Ista CO2 indikátorfolyadék,1589,Akvarisztika>Víztesztek
SE8476,Sera Siporax Mini szűrőanyag - 270 g,4655,Akvarisztika>Szűrőanyagok
SE277,Sera Vipan Nature lemezes díszhaleleség - 100 ml,1070,Akvarisztika>Haleleségek
SE281,Sera Vipan Nature lemezes díszhaleleség - 250 ml,2315,Akvarisztika>Haleleségek
SE201,Sera Vipagran díszhaleleség - 100 ml,1310,Akvarisztika>Haleleségek
SE202,Sera Vipagran díszhaleleség - 250 ml,2560,Akvarisztika>Haleleségek
SE325,Sera Goldy díszhaleleség - 100 ml,870,Akvarisztika>Haleleségek
SE331,Sera Goldy díszhaleleség - 250 ml,1815,Akvarisztika>Haleleségek
SE291,Sera San lemezes díszhaleleség - 100 ml,1395,Akvarisztika>Haleleségek
SE295,Sera San lemezes díszhaleleség - 250 ml,3155,Akvarisztika>Haleleségek
SE392,Sera Granugreen díszhaleleség - 250 ml,2935,Akvarisztika>Haleleségek
SE402,Sera Granured díszhaleleség - 250 ml,2935,Akvarisztika>Haleleségek
SE514,Sera Vipachips tablettás díszhaleleség - 100 ml,1955,Akvarisztika>Haleleségek
SE515,Sera Vipachips tablettás díszhaleleség - 250 ml,3655,Akvarisztika>Haleleségek
SE510,Sera Wels-chips tablettás díszhaleleség - 100 ml,1765,Akvarisztika>Haleleségek
SE511,Sera Wels-chips tablettás díszhaleleség - 250 ml,3505,Akvarisztika>Haleleségek
(SE)01,Sera aljzattisztító (háromszög) 14cm,2960,Akvarisztika>Akvárium tisztítás
(SE)02,Sera aljzattisztító (kerek) 25cm,2960,Akvarisztika>Akvárium tisztítás
(SE)03,Sera Crabs Natural 100 ml,2265,Akvarisztika>Haleleségek
(SE)04,Sera Goldy Color Spirulina - 100 ml,915,Akvarisztika>Haleleségek
(SE)05,Sera Goldy Color Spirulina - 250 ml,1895,Akvarisztika>Haleleségek
(SE)06,Sera Goldy Gran - 100 ml,915,Akvarisztika>Haleleségek
(SE)07,Sera Goldy Gran - 250 ml,1895,Akvarisztika>Haleleségek
(SE)08,Sera Koi Royal Medium - 1000 ml,2645,Akvarisztika>Tavi halak
(SE)09,Sera Koi Royal Mini - 1000 ml,2765,Akvarisztika>Tavi halak
(SE)10,Sera Pond Color Sticks - 1000 ml,1940,Akvarisztika>Tavi halak
(SE)11,Sera Pond Granulat - 1000 ml,1930,Akvarisztika>Tavi halak
(SE)12,Sera Shrimps Natural - 100 ml,2265,Akvarisztika>Haleleségek
(SE)13,Sera Vipagran Baby - 100 ml,2480,Akvarisztika>Haleleségek
(SE)14,Sera Flora Nature - 100 ml,1300,Akvarisztika>Haleleségek
(SE)15,Sera Flora Nature - 250 ml,2605,Akvarisztika>Haleleségek
